Date,Open,High,Low,Close,Volume
2020-12-09,12591.688,12607.14,12290.78,12338.95,4435196026.0
2020-12-08,12503.172,12594.539,12453.207,12582.77,4242261918.0
2020-12-07,12460.996,12536.227,12460.551,12519.95,4196547314.0
2020-12-04,12399.321,12464.232,12376.436,12464.23,4508564533.0
2020-12-03,12369.26,12439.021,12356.985,12377.18,4735110985.0
2020-12-02,12285.75,12360.059,12217.348,12349.37,4730115949.0
2020-12-01,12313.363,12405.789,12263.93,12355.11,4877718305.0
2020-11-30,12224.25,12244.645,12027.164,12198.74,6094241248.0
2020-11-27,12159.18,12236.23,12154.57,12205.85,3076087978.0
2020-11-25,12053.894,12114.766,12020.951,12094.4,3981551969.0
2020-11-24,11939.336,12049.883,11863.449,12036.79,5740271846.0
2020-11-23,11916.762,11949.328,11796.527,11880.63,4943970876.0
2020-11-20,11892.697,11935.468,11852.509,11854.97,4855536014.0
2020-11-19,11779.035,11912.635,11760.982,11904.71,3775796525.0
2020-11-18,11896.059,11942.492,11799.961,11801.6,4242012399.0
2020-11-17,11913.348,11950.184,11852.41,11899.34,3596484279.0
2020-11-16,11847.109,11937.715,11814.891,11924.13,3652369343.0
2020-11-13,11794.943,11849.785,11715.522,11829.29,3095879355.0
2020-11-12,11802.497,11847.841,11666.374,11709.59,3399639006.0
2020-11-11,11656.648,11793.574,11638.895,11786.43,3473099545.0
2020-11-10,11622.441,11665.867,11424.609,11553.86,4183765972.0
2020-11-09,12046.66,12108.066,11703.492,11713.78,5201559717.0
2020-11-06,11869.896,11920.535,11737.134,11895.23,3724043458.0
2020-11-05,11816.334,11924.28,11784.154,11890.93,3267658431.0
2020-11-04,11443.773,11663.3,11394.21,11590.78,3014166979.0
2020-11-03,11038.664,11213.918,11004.836,11160.57,2776257564.0
2020-11-02,11010.449,11071.078,10830.945,10957.61,2764846482.0
2020-10-30,11103.471,11129.813,10822.57,10911.59,3114225529.0
2020-10-29,11064.469,11287.63,11030.19,11185.59,2773968465.0
2020-10-28,11230.902,11249.95,10999.07,11004.87,3420784949.0
2020-10-27,11409.336,11465.063,11361.859,11431.35,2784803899.0
2020-10-26,11440.641,11545.629,11221.059,11358.94,2798400318.0
2020-10-23,11536.005,11548.848,11434.86,11548.28,2841729597.0
2020-10-22,11526.975,11548.772,11369.291,11506.01,3034881595.0
2020-10-21,11530.395,11613.79,11476.08,11484.69,3084796355.0
2020-10-20,11531.828,11632.891,11471.234,11516.49,3133415792.0
2020-10-19,11732.336,11778.105,11454.57,11478.88,3110428233.0
2020-10-16,11761.827,11827.423,11648.531,11671.56,2738456215.0
2020-10-15,11559.88,11740.68,11559.103,11713.87,2886180124.0
